date,close,highest,lowest ,open,amount,rate,volume,turnover 
2004/10/21,1310.545,1340.963,1304.544,1331.22,-20.039,-1.506,16436469,10673486217
2004/10/22,1329.355,1330.56,1294.041,1310.854,18.81,1.4353,17925061,11619270408
2004/10/25,1311.151,1346.881,1308.892,1337.254,-18.204,-1.3694,17566033,11808958232
2004/10/26,1324.783,1325.202,1289.873,1309.622,13.632,1.0397,17069712,10965410268
2004/10/27,1342.799,1343.029,1314.867,1326.917,18.016,1.3599,20768242,12961626985
2004/10/28,1341.737,1356.631,1336.75,1340.815,-1.062,-0.0791,19593829,12244172799
2004/10/29,1320.536,1337.276,1304.067,1316.599,-21.201,-1.5801,17905715,11215927869
2004/11/1,1305.291,1323.101,1304.294,1317.658,-15.245,-1.1545,11961915,7218346779
2004/11/2,1301.528,1306.278,1290.988,1303.878,-3.763,-0.2883,10960955,6711524359
2004/11/3,1326.749,1327.5,1301.324,1304.575,25.221,1.9378,13282835,8411264167
2004/11/4,1304.776,1338.264,1301.363,1328.115,-21.973,-1.6562,13974384,8753620447
2004/11/5,1305.128,1315.941,1298.707,1308.654,0.352,0.027,9996360,6257655769
2004/11/8,1304.229,1307.619,1292.909,1303.522,-0.899,-0.0689,7376656,4398204250
2004/11/9,1307.429,1313.151,1299.942,1304.371,3.2,0.2454,7111640,4270396170
2004/11/10,1354.386,1360.713,1302.704,1310.319,46.957,3.5916,23319738,14102138183
2004/11/11,1347.07,1379.86,1346.029,1358.647,-7.316,-0.5402,27429895,16803175455
2004/11/12,1352.217,1360.329,1341.124,1346.843,5.147,0.3821,15744105,9490677836
2004/11/15,1370.046,1370.616,1354.478,1354.478,17.829,1.3185,14230535,8929425605
2004/11/16,1370.389,1376.189,1361.279,1372.576,0.343,0.025,14165607,8616093077
2004/11/17,1356.138,1370.792,1350.521,1370.698,-14.251,-1.0399,12234261,7593392536
2004/11/18,1367.828,1368.061,1352.886,1353.498,11.69,0.862,11589095,7315559010
2004/11/19,1379.96,1380.076,1365.241,1369.806,12.132,0.887,14107904,8670276966
2004/11/22,1383.02,1387.342,1374.406,1381.579,3.06,0.2217,16667439,10273902372
2004/11/23,1371.244,1383.787,1368.143,1383.525,-11.776,-0.8515,16328520,10039118932
2004/11/24,1359.125,1380.766,1358.452,1371.323,-12.119,-0.8838,16355434,9764012688
2004/11/25,1358.333,1362.159,1348.406,1358.408,-0.792,-0.0583,13425338,7758391014
2004/11/26,1356.727,1362.494,1354.795,1357.536,-1.606,-0.1182,10434933,6121805743
2004/11/29,1337.434,1354.575,1335.608,1354.575,-19.293,-1.422,10083151,6080041480
2004/11/30,1340.771,1341.482,1332.288,1335.998,3.337,0.2495,9277245,5475046407
2004/12/1,1334.944,1342.546,1332.967,1340.916,-5.827,-0.4346,9553429,5797059429
2004/12/2,1333.09,1334.058,1324.553,1333.573,-1.854,-0.1389,12804483,7714799578
2004/12/3,1337.197,1343.711,1332.856,1333.009,4.107,0.3081,13505016,8201369578
2004/12/6,1339.644,1342.831,1327.383,1337.807,2.447,0.183,10664785,6326780468
2004/12/7,1323.752,1340.879,1322.818,1339.818,-15.892,-1.1863,10236805,5960762522
2004/12/8,1326.438,1337.87,1322.051,1331.277,2.686,0.2029,8593358,4929900972
2004/12/9,1338.81,1352.455,1318.468,1326.744,12.372,0.9327,15257911,8334090722
2004/12/10,1317.717,1340.365,1316.643,1336.628,-21.093,-1.5755,11072386,6280950481
2004/12/13,1309.695,1314.4,1299.804,1312.605,-8.022,-0.6088,8549453,4859194743
2004/12/14,1307.553,1315.894,1303.149,1309.066,-2.142,-0.1635,8045982,4652200350
2004/12/15,1313.045,1317.816,1291.855,1307.34,5.492,0.42,11405089,6514899965
2004/12/16,1305.018,1317.617,1302.485,1311.027,-8.027,-0.6113,9058802,5060280833
2004/12/17,1290.49,1303.94,1288.237,1303.94,-14.528,-1.1132,7662099,4229595109
2004/12/20,1275.459,1286.066,1272.146,1286.066,-15.031,-1.1648,8053107,4603037789
2004/12/21,1275.17,1285.705,1271.03,1275.087,-0.289,-0.0227,6999529,3734396422
2004/12/22,1307.57,1307.726,1275.063,1277.183,32.4,2.5408,13339675,7370728946
2004/12/23,1282.719,1308.589,1280.718,1308.576,-24.851,-1.9005,8476088,4917096451
2004/12/24,1285.036,1290.657,1280.38,1281.318,2.317,0.1806,7180521,4282648421
2004/12/27,1280.272,1292.313,1276.73,1285.41,-4.764,-0.3707,7231149,4172827406
2004/12/28,1278.943,1283.631,1271.91,1280.931,-1.329,-0.1038,7758212,4318210090
2004/12/29,1274.313,1285.549,1270.887,1278.688,-4.63,-0.362,8713987,4767536601
2004/12/30,1273.709,1280.571,1264.152,1273.154,-0.604,-0.0474,8812857,5014102747
2004/12/31,1266.496,1280.827,1264.486,1275.386,-7.213,-0.5663,8303949,4695701349
2005/1/4,1242.774,1260.782,1238.179,1260.782,-23.722,-1.873,8161770,4418452047
2005/1/5,1251.937,1258.58,1235.746,1241.682,9.163,0.7373,8678651,4916589314
2005/1/6,1239.43,1252.735,1234.236,1252.493,-12.507,-0.999,7922254,4381370333
2005/1/7,1244.746,1256.313,1235.508,1239.323,5.316,0.4289,8940871,5040041939
2005/1/10,1252.401,1252.723,1236.089,1243.576,7.655,0.615,7234683,4118291757
2005/1/11,1257.462,1260.871,1247.835,1252.711,5.061,0.4041,7725570,4368276172
2005/1/12,1256.923,1257.193,1246.422,1257.17,-0.539,-0.0429,6769585,3799862955
2005/1/13,1256.314,1259.499,1251.016,1255.718,-0.609,-0.0485,8746707,5003680868
2005/1/14,1245.62,1268.856,1243.873,1255.871,-10.694,-0.8512,9898327,5272487558
2005/1/17,1216.652,1236.397,1214.065,1235.574,-28.968,-2.3256,10028565,5434886351
2005/1/18,1225.454,1226.043,1207.052,1215.776,8.802,0.7235,10190288,5294355367
2005/1/19,1218.108,1225.075,1214.635,1225.075,-7.346,-0.5995,9377195,4677974231
2005/1/20,1204.394,1213.96,1199.167,1213.368,-13.714,-1.1258,10310284,5383794395
2005/1/21,1234.476,1237.909,1189.211,1201.933,30.082,2.4977,16970080,9001891146
2005/1/24,1255.777,1265.949,1239.8,1258.024,21.301,1.7255,18020207,9786782740
2005/1/25,1254.234,1254.866,1239.164,1252.354,-1.543,-0.1229,11813924,6439329703
2005/1/26,1241.958,1254.232,1240.131,1252.372,-12.276,-0.9788,9640691,5351521296
2005/1/27,1225.891,1241.137,1223.877,1239.579,-16.067,-1.2937,9412829,4955027537
2005/1/28,1213.673,1226.304,1208.857,1223.727,-12.218,-0.9967,8170557,4199937444
2005/1/31,1191.823,1210.755,1190.173,1210.755,-21.85,-1.8003,9078062,4668009630
2005/2/1,1188.931,1203.066,1187.26,1189.501,-2.892,-0.2427,9340222,4907930781
2005/2/2,1252.5,1253.159,1189.502,1189.502,63.569,5.3467,19054062,10397266956
2005/2/3,1242.307,1269.155,1236.179,1253.813,-10.193,-0.8138,20415225,10897290873
